Date,Customer,Region,Product,Quantity,UnitPrice,Total
2021-09-04,Riley Smith,North,Headset,11,987003370,10857037070
2021-07-20,Riley Moore,Central,Webcam,2,1341425236,2682850472
2021-02-22,Morgan Miller,South,Scanner,14,1915028377,26810397278
2021-08-26,Skyler Davis,South,Desk Chair,15,1277066636,19155999540
2020-12-22,Quinn Smith,South,Keyboard,5,215313481,1076567405
2021-05-10,Taylor Taylor,Central,Docking Station,9,79616208,716545872
2021-10-27,Taylor Taylor,North,Mouse,6,1529432400,9176594400
2021-02-12,Quinn Lee,South,Keyboard,10,969152499,9691524990
2021-01-02,Jamie Wilson,West,Headset,12,1941433109,23297197308
2021-04-13,Skyler Lee,West,Desk Chair,7,752772340,5269406380
2020-12-16,Morgan Taylor,West,Printer,12,1031483134,12377797608
2021-09-05,Jordan Wilson,North,Printer,14,1182504912,16555068768
2021-03-13,Jamie Davis,South,Laptop,10,2143514805,21435148050
2021-03-09,Skyler Brown,North,Desk Chair,15,1535214238,23028213570
2020-12-30,Morgan Smith,South,Desk Chair,7,1453685035,10175795245
2021-06-22,Jamie Smith,West,Docking Station,15,76174975,1142624625
2020-11-07,Taylor Taylor,South,Laptop,14,1496609950,20952539300
2021-02-02,Jamie Smith,Central,Headset,13,737442103,9586747339
2021-04-09,Jamie Garcia,North,Printer,2,353683780,707367560
2020-11-09,Casey Lee,East,Monitor,1,1200071974,1200071974
2021-09-05,Skyler Smith,South,Webcam,1,726658156,726658156
2021-09-26,Jordan Johnson,East,Mouse,14,1980951825,27733325550
2021-09-22,Skyler Taylor,Central,Headset,1,1171049924,1171049924
2021-06-23,Riley Garcia,East,Headset,14,308700924,4321812936
2021-01-01,Casey Miller,West,Laptop,17,932273983,15848657711
2021-02-22,Jordan Miller,Central,Desk Chair,12,252618634,3031423608
2021-05-31,Quinn Lee,West,Headset,13,1935949631,25167345203
2021-04-24,Jordan Taylor,East,Mouse,13,1786050124,23218651612
2021-02-09,Jordan Brown,West,Monitor,19,1297413143,24650849717
2021-04-22,Jamie Taylor,East,Keyboard,12,389151063,4669812756
2021-02-20,Alex Moore,North,Scanner,5,133991762,669958810
2021-10-15,Taylor Davis,North,Laptop,11,952388746,10476276206
2020-11-05,Riley Miller,East,Scanner,9,1995697294,17961275646
2021-06-18,Alex Lee,South,Headset,7,1405893602,9841255214
2020-12-27,Riley Miller,East,Headset,2,1300773981,2601547962
2021-08-16,Casey Moore,East,Keyboard,13,321682207,4181868691
2021-10-23,Morgan Taylor,West,Headset,4,497389382,1989557528
2021-03-18,Jordan Davis,North,Mouse,8,42405428,339243424
2021-09-01,Morgan Wilson,West,Keyboard,1,528550991,528550991
2020-12-12,Morgan Moore,West,Monitor,4,155436261,621745044
2021-03-19,Quinn Smith,North,Scanner,16,1470192651,23523082416
2020-12-11,Chris Johnson,North,Keyboard,12,1010792698,12129512376
2020-11-22,Alex Garcia,Central,Mouse,14,1979802115,27717229610
2021-08-28,Morgan Davis,West,Keyboard,10,2073834923,20738349230
2021-04-09,Alex Moore,South,Monitor,1,1099010942,1099010942
2020-12-24,Morgan Miller,North,Docking Station,2,8262766,16525532
2021-10-18,Quinn Brown,East,Docking Station,5,811387428,4056937140
2021-09-28,Chris Smith,South,Laptop,13,1242893458,16157614954
2021-03-10,Jordan Johnson,Central,Monitor,10,1062849972,10628499720
2021-04-10,Casey Brown,North,Desk Chair,11,1344916375,14794080125
2021-02-08,Jordan Taylor,South,Mouse,12,395522462,4746269544
2020-12-02,Casey Lee,North,Desk Chair,16,1344632859,21514125744
2021-04-24,Quinn Taylor,East,Scanner,8,377378857,3019030856
2021-07-04,Casey Lee,South,Webcam,5,283270596,1416352980
2021-08-11,Jamie Garcia,East,Mouse,8,1886835251,15094682008
2021-09-08,Morgan Davis,North,Headset,4,1409176135,5636704540
2021-05-19,Casey Garcia,East,Desk Chair,6,277343780,1664062680
2021-05-26,Chris Garcia,Central,Laptop,19,124137764,2358617516
2021-04-24,Casey Smith,South,Monitor,15,1906437660,28596564900
2021-10-12,Casey Taylor,South,Printer,1,910997282,910997282
2021-04-30,Jamie Miller,Central,Desk Chair,5,30498709,152493545
2021-10-07,Chris Wilson,West,Docking Station,6,1278752235,7672513410
2021-04-03,Alex Smith,North,Webcam,5,304241377,1521206885
2020-12-08,Chris Moore,Central,Monitor,9,1623655043,14612895387
2021-11-01,Taylor Lee,East,Headset,14,936851685,13115923590
2020-12-30,Morgan Smith,North,Webcam,4,77906484,311625936
2021-06-18,Chris Wilson,West,Printer,7,1609763334,11268343338
2021-03-09,Chris Johnson,East,Scanner,15,890673030,13360095450
2021-10-26,Morgan Smith,Central,Mouse,10,1411318925,14113189250
2021-06-10,Jamie Taylor,South,Monitor,1,1779417525,1779417525
2021-08-01,Skyler Johnson,East,Mouse,1,863879872,863879872
2021-01-23,Alex Smith,East,Headset,4,514925518,2059702072
2021-05-12,Morgan Lee,Central,Monitor,18,1756958977,31625261586
2021-09-02,Chris Davis,East,Webcam,5,754770315,3773851575
